c1
c2
c3
c4
e1
e2
e3
e4
a1
a2
a3
a4
f1
f2
f3
f4
d1
d2
d3
d4
b1
b2
b3
b4
c1e1
e2c1
c1e3
e4c1
c2e1
c2e2
c2e3
c2e4
e1c3
e2c3
e3c3
e4c3
c4e1
e2c4
c4e3
e4c4
c1a1
c1a2
a3c1
a4c1
c2a1
c2a2
c2a3
a4c2
c3a1
a2c3
a3c3
a4c3
c4a1
c4a2
a3c4
a4c4
c1f1
c1f2
f3c1
f4c1
c2f1
c2f2
c2f3
f4c2
c3f1
c3f2
f3c3
f4c3
c4f1
c4f2
f3c4
f4c4
d1c1
d2c1
c1d3
c1d4
c2d1
c2d2
c2d3
c2d4
d1c3
d2c3
d3c3
d4c3
d1c4
d2c4
c4d3
c4d4
c1b1
c1b2
b3c1
b4c1
c2b1
c2b2
c2b3
b4c2
c3b1
b2c3
b3c3
b4c3
c4b1
c4b2
b3c4
b4c4
e1a1
e1a2
a3e1
a4e1
e2a1
e2a2
e2a3
a4e2
e3a1
a2e3
a3e3
a4e3
e4a1
e4a2
a3e4
a4e4
e1f1
e1f2
f3e1
f4e1
e2f1
e2f2
e2f3
f4e2
e3f1
e3f2
f3e3
f4e3
e4f1
e4f2
f3e4
f4e4
d1e1
d2e1
e1d3
e1d4
e2d1
e2d2
e2d3
e2d4
d1e3
d2e3
d3e3
d4e3
d1e4
d2e4
e4d3
e4d4
e1b1
e1b2
b3e1
b4e1
e2b1
e2b2
e2b3
b4e2
e3b1
b2e3
b3e3
b4e3
e4b1
e4b2
b3e4
b4e4
f1a1
f2a1
f3a1
f4a1
a2f1
a2f2
f3a2
f4a2
a3f1
a3f2
a3f3
f4a3
a4f1
a4f2
a4f3
a4f4
d1a1
d2a1
d3a1
d4a1
d1a2
d2a2
d3a2
d4a2
a3d1
a3d2
a3d3
a3d4
a4d1
a4d2
a4d3
a4d4
b1a1
b2a1
b3a1
b4a1
a2b1
b2a2
b3a2
b4a2
a3b1
a3b2
a3b3
b4a3
a4b1
a4b2
a4b3
a4b4
d1f1
d2f1
d3f1
d4f1
d1f2
d2f2
d3f2
d4f2
f3d1
f3d2
f3d3
f3d4
f4d1
f4d2
f4d3
f4d4
b1f1
b2f1
b3f1
b4f1
f2b1
b2f2
b3f2
b4f2
f3b1
f3b2
f3b3
b4f3
f4b1
f4b2
f4b3
f4b4
d1b1
d1b2
b3d1
b4d1
d2b1
d2b2
b3d2
b4d2
d3b1
d3b2
b3d3
b4d3
d4b1
d4b2
b3d4
b4d4
c1a1e1
c1a2e1
a3c1e1
a4c1e1
e2c1a1
e2c1a2
e2a3c1
a4e2c1
c1e3a1
a2c1e3
a3c1e3
a4c1e3
e4c1a1
e4c1a2
a3e4c1
a4e4c1
c2e1a1
c2e1a2
c2a3e1
a4c2e1
c2e2a1
c2e2a2
c2a3e2
a4c2e2
c2e3a1
c2a2e3
c2a3e3
a4c2e3
c2e4a1
c2e4a2
c2e4a3
a4c2e4
e1c3a1
a2e1c3
a3e1c3
a4e1c3
e2c3a1
e2a2c3
e2a3c3
a4e2c3
e3c3a1
a2e3c3
a3e3c3
a4e3c3
e4c3a1
a2e4c3
a3e4c3
a4e4c3
c4e1a1
c4e1a2
a3c4e1
a4c4e1
e2c4a1
e2c4a2
e2c4a3
a4e2c4
c4e3a1
a2c4e3
a3c4e3
a4c4e3
e4c4a1
e4c4a2
e4c4a3
a4e4c4
c1f1e1
c1f2e1
f3c1e1
f4c1e1
e2c1f1
e2c1f2
e2f3c1
f4e2c1
c1e3f1
c1e3f2
f3c1e3
f4c1e3
e4c1f1
e4c1f2
f3e4c1
f4e4c1
c2e1f1
c2e1f2
c2f3e1
f4c2e1
c2e2f1
c2e2f2
c2f3e2
f4c2e2
c2e3f1
c2e3f2
c2f3e3
f4c2e3
c2e4f1
c2e4f2
c2f3e4
f4c2e4
e1c3f1
e1c3f2
f3e1c3
f4e1c3
e2c3f1
e2c3f2
e2f3c3
f4e2c3
e3c3f1
e3c3f2
f3e3c3
f4e3c3
e4c3f1
e4c3f2
f3e4c3
f4e4c3
c4e1f1
c4e1f2
f3c4e1
f4c4e1
e2c4f1
e2c4f2
e2f3c4
f4e2c4
c4e3f1
c4e3f2
f3c4e3
f4c4e3
e4c4f1
e4c4f2
e4f3c4
f4e4c4
d1c1e1
d2c1e1
c1d3e1
c1d4e1
e2d1c1
e2d2c1
e2c1d3
e2c1d4
d1c1e3
d2c1e3
c1d3e3
c1d4e3
d1e4c1
d2e4c1
e4c1d3
e4c1d4
c2d1e1
c2d2e1
c2e1d3
c2e1d4
c2d1e2
c2d2e2
c2d3e2
c2d4e2
c2d1e3
c2d2e3
c2d3e3
c2d4e3
d1c2e4
c2d2e4
c2e4d3
c2e4d4
d1e1c3
d2e1c3
e1d3c3
e1d4c3
e2d1c3
e2d2c3
e2d3c3
e2d4c3
e3d1c3
d2e3c3
e3d3c3
e3d4c3
d1e4c3
d2e4c3
e4d3c3
e4d4c3
d1c4e1
d2c4e1
c4e1d3
c4e1d4
d1e2c4
e2d2c4
e2c4d3
e2c4d4
d1c4e3
d2c4e3
c4d3e3
c4d4e3
d1e4c4
e4d2c4
e4c4d3
e4c4d4
b1c1e1
c1b2e1
b3c1e1
b4c1e1
e2c1b1
e2c1b2
e2c1b3
b4e2c1
c1e3b1
b2c1e3
b3c1e3
b4c1e3
e4c1b1
e4c1b2
b3e4c1
b4e4c1
c2e1b1
c2e1b2
c2e1b3
b4c2e1
c2e2b1
c2e2b2
c2e2b3
b4c2e2
c2e3b1
c2b2e3
c2b3e3
b4c2e3
c2e4b1
c2e4b2
c2e4b3
b4c2e4
e1c3b1
b2e1c3
b3e1c3
b4e1c3
e2c3b1
e2b2c3
e2b3c3
b4e2c3
e3c3b1
e3b2c3
b3e3c3
b4e3c3
e4c3b1
e4b2c3
b3e4c3
b4e4c3
c4e1b1
c4e1b2
b3c4e1
b4c4e1
e2c4b1
e2c4b2
e2c4b3
b4e2c4
c4e3b1
c4b2e3
b3c4e3
b4c4e3
e4c4b1
e4c4b2
e4c4b3
b4e4c4
c1f1a1
c1f2a1
f3c1a1
f4c1a1
c1a2f1
c1a2f2
f3c1a2
f4c1a2
a3c1f1
a3c1f2
a3f3c1
f4a3c1
a4c1f1
a4c1f2
a4f3c1
a4f4c1
c2f1a1
c2f2a1
c2f3a1
f4c2a1
c2a2f1
c2a2f2
c2f3a2
f4c2a2
c2a3f1
c2a3f2
c2f3a3
f4c2a3
a4c2f1
a4c2f2
a4c2f3
a4c2f4
f1c3a1
f2c3a1
f3c3a1
f4c3a1
a2c3f1
a2c3f2
a2f3c3
f4a2c3
a3c3f1
a3c3f2
a3f3c3
f4a3c3
a4c3f1
a4c3f2
a4f3c3
a4f4c3
c4f1a1
c4f2a1
f3c4a1
f4c4a1
c4a2f1
c4a2f2
f3c4a2
f4c4a2
a3c4f1
a3c4f2
a3f3c4
f4a3c4
a4c4f1
a4c4f2
a4f3c4
a4c4f4
d1c1a1
d2c1a1
c1d3a1
c1d4a1
d1c1a2
d2c1a2
c1d3a2
c1d4a2
a3d1c1
a3d2c1
a3c1d3
a3c1d4
a4d1c1
a4d2c1
a4c1d3
a4c1d4
c2d1a1
c2d2a1
c2d3a1
c2d4a1
c2d1a2
c2d2a2
c2d3a2
c2d4a2
d1c2a3
c2d2a3
c2a3d3
c2a3d4
a4c2d1
a4c2d2
a4c2d3
a4c2d4
d1c3a1
d2c3a1
d3c3a1
d4c3a1
a2d1c3
a2d2c3
a2d3c3
a2d4c3
a3d1c3
a3d2c3
a3d3c3
a3d4c3
a4d1c3
a4d2c3
a4d3c3
a4d4c3
d1c4a1
d2c4a1
