d1
d2
d3
b1
b2
b3
c1
c2
c3
a1
a2
a3
d1b1
d1b2
d1b3
d2b1
d2b2
b3d2
d3b1
d3b2
d3b3
d1c1
d1c2
d1c3
c1d2
c2d2
d2c3
c1d3
d3c2
d3c3
d1a1
d1a2
d1a3
d2a1
d2a2
a3d2
d3a1
d3a2
a3d3
c1b1
c2b1
b1c3
c1b2
c2b2
c3b2
c1b3
c2b3
b3c3
b1a1
a2b1
a3b1
a1b2
a2b2
a3b2
b3a1
b3a2
a3b3
c1a1
c1a2
c1a3
c2a1
c2a2
a3c2
a1c3
a2c3
a3c3
d1c1b1
d1c2b1
d1b1c3
d1c1b2
d1c2b2
d1c3b2
d1c1b3
d1c2b3
d1b3c3
c1d2b1
c2d2b1
d2b1c3
c1d2b2
c2d2b2
c3d2b2
c1b3d2
c2b3d2
b3d2c3
c1d3b1
d3c2b1
d3b1c3
c1d3b2
d3c2b2
d3c3b2
c1d3b3
c2d3b3
d3b3c3
d1b1a1
d1a2b1
d1a3b1
d1a1b2
d1a2b2
d1a3b2
d1b3a1
d1b3a2
d1a3b3
d2b1a1
a2d2b1
a3d2b1
a1d2b2
d2a2b2
a3d2b2
b3d2a1
b3d2a2
a3b3d2
d3b1a1
d3a2b1
a3d3b1
a1d3b2
d3a2b2
a3d3b2
d3b3a1
d3b3a2
a3d3b3
d1c1a1
d1c1a2
d1c1a3
d1c2a1
d1c2a2
d1a3c2
d1a1c3
d1a2c3
d1a3c3
c1d2a1
c1d2a2
a3c1d2
c2d2a1
c2d2a2
a3c2d2
a1d2c3
d2a2c3
a3d2c3
c1d3a1
c1d3a2
c1d3a3
d3c2a1
d3c2a2
a3d3c2
a1d3c3
d3a2c3
a3d3c3
c1b1a1
c1a2b1
c1a3b1
c2b1a1
a2c2b1
a3c2b1
a1b1c3
a2b1c3
a3b1c3
c1a1b2
c1a2b2
c1a3b2
a1c2b2
c2a2b2
a3c2b2
a1c3b2
c3a2b2
a3c3b2
c1b3a1
c1b3a2
c1b3a3
c2b3a1
c2b3a2
c2b3a3
a1b3c3
b3a2c3
a3b3c3
1
